date,province,region,variable,value,model
2019-01-01,Sakon Nakhon,east_northeast,no_tourist_foreign,394.0,
2019-01-01,Yasothon,east_northeast,no_tourist_foreign,1871.0,
2019-01-01,Amnat Charoen,east_northeast,no_tourist_foreign,818.0,
2019-01-01,Nong Bua Lam Phu,east_northeast,no_tourist_foreign,161.0,
2019-01-01,Bangkok Metropolis,central,revenue_all,81926490000.0,
2019-01-01,Lop Buri,central,revenue_all,457240000.0,
2019-01-01,Phra Nakhon Si Ayutthaya,central,revenue_all,1438730000.0,
2019-01-01,Saraburi,central,revenue_all,347790000.0,
2019-01-01,Chai Nat,central,revenue_all,101790000.0,
2019-01-01,Nakhon Pathom,central,revenue_all,407980000.0,
2019-01-01,Sing Buri,central,revenue_all,69610000.0,
2019-01-01,Ang Thong,central,revenue_all,132070000.0,
2019-01-01,Nonthaburi,central,revenue_all,527420000.0,
2019-01-01,Pathum Thani,central,revenue_all,307920000.0,
2019-01-01,Samut Prakan,central,revenue_all,796190000.0,
2019-01-01,Samut Sakhon,central,revenue_all,164490000.0,
2019-01-01,Chachoengsao,east,revenue_all,292960000.0,
2019-01-01,Ratchaburi,central,revenue_all,450010000.0,
2019-01-01,Kanchanaburi,central,revenue_all,2695150000.0,
2019-01-01,Samut Songkhram,central,revenue_all,344930000.0,
2019-01-01,Suphan Buri,central,revenue_all,487610000.0,
2019-01-01,Phetchaburi,central,revenue_all,2352550000.0,
2019-01-01,Prachuap Khiri Khan,central,revenue_all,3755100000.0,
2019-01-01,Chon Buri,east,revenue_all,27896450000.0,
2019-01-01,Chanthaburi,east,revenue_all,844480000.0,
2019-01-01,Trat,east,revenue_all,2073220000.0,
2019-01-01,Nakhon Nayok,east,revenue_all,842490000.0,
2019-01-01,Prachin Buri,east,revenue_all,521290000.0,
2019-01-01,Rayong,east,revenue_all,2435410000.0,
2019-01-01,Sa Kaeo,east,revenue_all,581600000.0,
2019-01-01,Phuket,south,revenue_all,55328200000.0,
2019-01-01,Phatthalung,south,revenue_all,181320000.0,
2019-01-01,Trang,south,revenue_all,1250160000.0,
2019-01-01,Ranong,south,revenue_all,368380000.0,
2019-01-01,Chumphon,south,revenue_all,496860000.0,
2019-01-01,Pattani,south,revenue_all,79150000.0,
2019-01-01,Yala,south,revenue_all,236370000.0,
2019-01-01,Nakhon Si Thammarat,south,revenue_all,1270860000.0,
2019-01-01,Narathiwat,south,revenue_all,246030000.0,
2019-01-01,Krabi,south,revenue_all,10844790000.0,
2019-01-01,Songkhla,south,revenue_all,6531350000.0,
2019-01-01,Phangnga,south,revenue_all,6062060000.0,
2019-01-01,Surat Thani,south,revenue_all,9795400000.0,
2019-01-01,Satun,south,revenue_all,1762520000.0,
2019-01-01,Kamphaeng Phet,north,revenue_all,156400000.0,
2019-01-01,Chiang Rai,north,revenue_all,3204260000.0,
2019-01-01,Chiang Mai,north,revenue_all,12004620000.0,
